id;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;pessoas;mortos;feridos_leves;feridos_graves;ilesos;ignorados;feridos;veiculos;latitude;longitude;regional;delegacia;uop;feriado
564239.0;2023-11-29;quarta-feira;00:45:00;SP;116.0;36,7;CACHOEIRA PAULISTA;Ausência de reação do condutor;Colisão traseira;Com Vítimas Fatais;Plena Noite;Crescente;Chuva;Múltipla;Reta;Não;4;1;0;0;3;0;0;4;-22,66104604;-44,97604019;SPRF-SP;DEL08-SP;UOP02-DEL08-SP;false
564274.0;2023-10-25;quarta-feira;04:00:00;SP;116.0;545,7;BARRA DO TURVO;Pista Escorregadia;Colisão com objeto;Com Vítimas Feridas;Plena Noite;Crescente;Garoa/Chuvisco;Simples;"Curva;Declive                 ";Não;7;0;0;1;6;0;1;7;-24,95016699;-48,42400302;SPRF-SP;DEL05-SP;UOP02-DEL05-SP;false
564350.0;2023-11-29;quarta-feira;17:00:00;SP;116.0;222;GUARULHOS;Trafegar com motocicleta (ou similar) entre as faixas;Colisão lateral mesmo sentido;Com Vítimas Feridas;Anoitecer;Decrescente;Céu Claro;Múltipla;Reta;Sim;2;0;1;0;0;1;1;2;-23,47093408;-46,51631097;SPRF-SP;DEL01-SP;UOP01-DEL01-SP;false
564390.0;2023-11-29;quarta-feira;16:00:00;SP;116.0;46;CANAS;Falta de acostamento;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;Sim;4;0;1;0;2;1;1;4;-22,71393589;-45,05335608;SPRF-SP;DEL08-SP;UOP02-DEL08-SP;false
564418.0;2023-11-30;quinta-feira;00:30:00;SP;116.0;209;GUARULHOS;Ausência de reação do condutor;Colisão traseira;Com Vítimas Feridas;Plena Noite;Decrescente;Nublado;Múltipla;Reta;Não;2;0;1;0;1;0;1;2;-23,42511799;-46,40221101;SPRF-SP;DEL01-SP;UOP01-DEL01-SP;false
564428.0;2023-11-30;quinta-feira;01:00:00;SP;116.0;219;GUARULHOS;Demais falhas mecânicas ou elétricas;Incêndio;Sem Vítimas;Plena Noite;Decrescente;Céu Claro;Múltipla;Reta;Sim;1;0;0;0;1;0;0;1;-23,46143954;-46,48885316;SPRF-SP;DEL01-SP;UOP01-DEL01-SP;false
564464.0;2023-11-30;quinta-feira;09:05:00;SP;101.0;46,5;UBATUBA;Estacionar ou parar em local proibido;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Crescente;Sol;Simples;"Reta;Em Obras                 ";Sim;3;0;0;1;1;1;1;3;-23,42403383;-45,07492113;SPRF-SP;DEL06-SP;UOP01-DEL06-SP;false
564531.0;2023-11-30;quinta-feira;17:00:00;SP;116.0;283;EMBU DAS ARTES;Ausência de reação do condutor;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Decrescente;Chuva;Dupla;Reta;Sim;4;0;0;1;1;2;1;4;-23,69297005;-46,86352786;SPRF-SP;DEL04-SP;UOP01-DEL04-SP;false
564651.0;2023-12-01;sexta-feira;07:30:00;SP;116.0;138;SAO JOSE DOS CAMPOS;Reação tardia ou ineficiente do condutor;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Decrescente;Sol;Dupla;Reta;Sim;2;0;1;0;0;1;1;2;-23,1572739;-45,79554605;SPRF-SP;DEL02-SP;UOP01-DEL02-SP;false
564671.0;2023-12-01;sexta-feira;09:00:00;SP;153.0;86,4;MIRASSOL;Condutor Dormindo;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Crescente;Nublado;Simples;Aclive;Não;1;0;1;0;0;0;1;1;-20,94035079;-49,52635316;SPRF-SP;DEL09-SP;UOP01-DEL09-SP;false
564780.0;2023-12-01;sexta-feira;18:30:00;SP;116.0;108;TAUBATE;Ingestão de álcool pelo condutor;Colisão lateral mesmo sentido;Sem Vítimas;Anoitecer;Crescente;Céu Claro;Dupla;Reta;Sim;2;0;0;0;1;1;0;2;-23,0233097;-45,53763622;SPRF-SP;DEL02-SP;UOP02-DEL02-SP;false
